Team ID,Team Description,,Full Name,,1,,,2,,,3,,,4,,,5,,,6,,,,Pokepaste,EVs,Extracted paste?,Replica Status,Replica Code,,,,,,,,,,,,,,,,
MC409,JoeUX9's Baltimore Regional 2027 Champion Team,,Joseph Ugarte,,,,Salamencite,,,Tyranitarite,,,Focus Sash,,,White Herb,,,Choice Scarf,,,Psychic Seed,,https://pokepast.es/9088ce7f283bf776,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,Champion,https://x.com/JoeUX9/status/2101802284967506082,-,https://victoryroad.pro/2027-baltimore/,JoeUX9,,Salamence-Mega,Tyranitar-Mega,Excadrill,Sneasler,Indeedee,Corviknight,,MC409
MC408,ck49's Baltimore Regional 2027 Runner Up Team,,Aditya Subramanian,,,,Charizardite Y,,,Golisopite,,,Mystic Water,,,Sitrus Berry,,,Light Clay,,,Leftovers,,https://pokepast.es/8fdc2755b3ed6351,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,Runner Up,https://x.com/adisubra/status/2101876760665067946,-,https://victoryroad.pro/2027-baltimore/,adisubra,,Charizard-Mega-Y,Golisopod-Mega,Politoed,Farigiraf,Grimmsnarl,Archaludon,,MC408
MC407,bsmiffy's Baltimore Regional 2027 Top 4 Team,,Brady Smith,,,,Gengarite,,,Passho Berry,,,Sitrus Berry,,,Eject Button,,,Focus Sash,,,Leftovers,,https://pokepast.es/ce2800161014d6d9,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,3rd,https://x.com/vgccorner/status/2101808257278820853,-,https://victoryroad.pro/2027-baltimore/,vgccorner,,Gengar-Mega,Incineroar,Politoed,Rillaboom,Vivillon,Archaludon,,MC407
MC406,Blaik Thompson's Baltimore Regional 2027 Top 4 Team,,Blaik Thompson,,,,Metagrossite,,,Salamencite,,,Focus Sash,,,Leftovers,,,Psychic Seed,,,Choice Scarf,,https://pokepast.es/0f52854ac985dff8,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,4th,No Tweet,-,https://victoryroad.pro/2027-baltimore/,Blaik,,Metagross-Mega,Salamence-Mega,Arcanine-Hisui,Milotic,Sneasler,Indeedee,,MC406
MC405,hamanvgc's Baltimore Regional 2027 Top 8 Team,,hamanvgc,,,,Raichunite Y,,,Staraptite,,,Grassy Seed,,,Sitrus Berry,,,Miracle Seed,,,Life Orb,,https://pokepast.es/470a6ec2468af8a4,Yes,Owner's,✔,X9L10UL8JM,21 Sep 2026,Baltimore Regional 2027,5th,https://x.com/hamanvgc/status/2101749539505885259?s=46,-,https://victoryroad.pro/2027-baltimore/,hamanvgc,,Raichu-Mega-Y,Staraptor-Mega,Ceruledge,Milotic,Rillaboom,Gholdengo,,MC405
MC404,Esa Ishaque's Baltimore Regional 2027 Top 8 Team,,Esa Ishaque,,,,Froslassite,,,Raichunite Y,,,Focus Sash,,,Sitrus Berry,,,White Herb,,,Life Orb,,https://pokepast.es/375969c3f345582f,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,6th,https://x.com/UrsakingVGC/status/2101907355810046161,-,https://victoryroad.pro/2027-baltimore/,UrsakingVGC,,Froslass-Mega,Raichu-Mega-Y,Arcanine-Hisui,Rillaboom,Sneasler,Kingambit,,MC404
MC403,Conner's Baltimore Regional 2027 Top 8 Team,,Conner P.,,,,Raichunite Y,,,Staraptite,,,Focus Sash,,,Miracle Seed,,,Life Orb,,,Fairy Feather,,https://pokepast.es/82a47c7cc134e16f,Yes,Owner's,X,None,21 Sep 2026,Baltimore Regional 2027,7th,https://x.com/conner138382472/status/2101773605591720077?s=46,-,https://victoryroad.pro/2027-baltimore/,conner138382472,,Raichu-Mega-Y,Staraptor-Mega,Arcanine-Hisui,Rillaboom,Gholdengo,Sylveon,,MC403
MC402,Cole Basham's Baltimore Regional 2027 Top 8 Team,,Cole Basham,,,,Delphoxite,,,Floettite,,,Passho Berry,,,Miracle Seed,,,Focus Sash,,,Life Orb,,https://pokepast.es/1dbb80cce0e35047,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,8th,https://x.com/Fluffy_VGC/status/2101810353478729805,-,https://victoryroad.pro/2027-baltimore/,Fluffy_VGC,,Delphox-Mega,Floette-Eternal-Mega,Incineroar,Rillaboom,Sneasler,Kingambit,,MC402
MC401,Dorian Kang's Baltimore Regional 2027 Top 16 Team,,Dorian Kang,,,,Gengarite,,,Staraptite,,,Focus Sash,,,Psychic Seed,,,Rocky Helmet,,,Life Orb,,https://pokepast.es/10cae0577b786f6e,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,9th,https://x.com/SlycedBread/status/2101735973402845232,-,https://victoryroad.pro/2027-baltimore/,SlycedBread,,Gengar-Mega,Staraptor-Mega,Armarouge,Milotic,Indeedee-F,Dragapult,,MC401
MC400,gocinema96's Baltimore Regional 2027 Top 16 Team,,gocinema96,,,,Gengarite,,,Golisopite,,,Passho Berry,,,Sitrus Berry,,,Miracle Seed,,,Leftovers,,https://pokepast.es/2f1c6631010c3644,Yes,Extracted,✔,U9LAHRDYTD,21 Sep 2026,Baltimore Regional 2027,10th,https://x.com/gocinema96/status/2101722826260488676?s=46,-,https://victoryroad.pro/2027-baltimore/,gocinema96,,Gengar-Mega,Golisopod-Mega,Incineroar,Politoed,Rillaboom,Archaludon,,MC400
